station,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
6013,62.13,-6.35,75
6019,56.56,8.38,41
6021,57.07,8.36,3
6029,57.03,10.03,2
6030,57.06,9.51,13
6031,57.11,9.57,13
6032,57.23,10.20,56
6033,57.36,9.57,3
6041,57.44,10.38,5
6042,57.26,10.33,3
6044,56.59,10.19,16
6049,56.34,10.06,89
6051,56.46,8.19,18
6052,56.42,8.13,4
6055,56.22,8.07,5
6056,56.23,8.40,55
6058,56.00,8.08,4
6060,56.18,9.07,53
6063,56.54,9.10,2
6065,56.45,9.30,33
6068,56.06,9.11,62
6069,56.30,9.34,58
6070,56.18,10.38,23
6072,56.18,10.08,62
6073,56.06,10.31,6
6074,56.05,10.08,55
6079,56.43,11.31,4
6080,55.32,8.34,29
6081,55.33,8.05,18
6082,55.58,8.37,25
6088,55.27,8.24,4
6093,55.17,8.39,5
6096,55.11,8.34,9
6099,55.05,8.34,3
6102,55.52,9.47,24
6104,55.44,9.10,80
6108,55.26,9.20,45
6109,55.28,9.07,62
6110,55.14,9.16,47
6116,54.54,9.07,17
6119,54.51,9.59,19
6120,55.29,10.20,21
6123,55.15,9.53,3
6124,55.01,10.34,7
6126,55.19,10.26,51
6132,55.50,10.37,16
6135,55.19,11.23,34
6136,55.15,11.20,12
6138,54.49,11.00,4
6141,54.50,11.20,9
6147,54.53,12.11,5
6149,54.34,11.57,5
6151,55.10,11.08,3
6154,55.12,11.52,46
6156,55.44,11.36,13
6158,55.40,11.06,2
6159,55.45,10.52,16
6165,56.12,11.43,18
6168,56.07,12.21,43
6169,56.00,11.17,16
6170,55.35,12.08,43
6174,55.24,12.09,22
6180,55.37,12.39,5
6181,55.46,12.32,42
6183,55.32,12.43,14
6184,55.43,12.34,10
6186,55.41,12.33,7
6187,55.41,12.36,20
6188,55.53,12.25,41
6190,55.04,14.45,17
6193,55.18,14.46,9
6197,55.03,15.06,25
6201,54.20,2.56,36
6203,52.22,3.21,24
6204,53.16,3.38,28
6205,55.24,3.49,33
6206,54.07,4.01,28
6207,53.37,4.58,30
6208,53.30,5.57,27
6211,53.49,2.57,34
6212,52.55,4.09,41
6214,54.02,6.03,37
6215,52.08,4.26,0
6225,52.28,4.33,4
6235,52.56,4.47,1
6239,54.51,4.42,24
6240,52.19,4.47,-3
6242,53.14,4.55,10
6248,52.38,5.10,1
6249,52.39,4.59,-2
6251,53.23,5.21,2
6252,53.13,3.13,31
6257,52.30,4.36,9
6258,52.39,5.24,7
6260,52.06,5.11,4
6267,52.54,5.23,-1
6269,52.27,5.31,-4
6270,53.13,5.45,1
6273,52.42,5.53,-3
6275,52.03,5.52,47
6277,53.25,6.12,3
6278,52.26,6.16,4
6279,52.45,6.34,17
6280,53.07,6.35,4
6283,52.04,6.39,29
6286,53.12,7.09,0
6290,52.16,6.53,35
6310,51.26,3.36,10
6319,51.13,3.52,3
6320,51.56,3.40,19
6321,52.00,3.16,18
6330,51.59,4.07,12
6340,51.27,4.21,16
6343,51.54,4.19,4
6344,51.58,4.27,-5
6348,51.58,4.56,1
6350,51.34,4.56,13
6356,51.51,5.09,3
6370,51.27,5.23,22
6375,51.40,5.42,21
