location,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
63870,-6.13,39.13,15
63887,-7.40,35.45,1428
63894,-6.53,39.12,55
63932,-8.56,33.28,1707
63962,-10.41,35.35,1067
63971,-10.16,40.11,113
63995,-9.21,46.32,4
64040,0.31,25.11,396
64210,-4.23,15.26,312
64235,-5.53,22.25,657
64387,-1.58,30.08,1497
64390,-3.19,29.19,783
64400,-4.48,11.53,19
64401,-4.12,12.42,331
64450,-4.15,15.15,316
64453,-2.32,14.46,790
64458,1.37,16.03,350
64459,1.37,18.04,327
64500,0.27,9.25,15
64501,-0.42,8.45,4
64510,2.05,11.29,599
64600,4.15,15.48,583
64601,5.58,15.38,1020
64610,6.29,17.26,465
64650,4.24,18.31,366
64654,8.24,20.39,511
64656,4.44,22.50,500
64665,4.19,21.11,406
64700,12.08,15.02,295
64750,9.09,18.23,365
64753,18.00,19.10,234
64860,9.20,13.23,244
64870,7.21,13.34,1104
64893,5.39,10.45,1210
64900,5.33,12.22,1031
64931,4.28,14.22,656
64950,3.50,11.31,760
65046,12.03,8.32,473
65082,11.51,13.05,354
65123,9.37,6.32,256
65125,9.15,7.00,343
65167,9.14,12.28,186
65201,6.35,3.20,39
65257,6.28,7.33,142
65271,7.44,8.32,113
65306,11.08,2.56,292
65330,9.21,2.37,393
65344,6.21,2.23,9
65361,8.59,1.09,387
65387,6.10,1.15,25
65416,9.02,-2.29,300
65418,9.33,-0.51,169
65437,7.49,-0.02,122
65442,6.43,-1.36,286
65467,4.53,-1.46,5
65472,5.36,-0.10,68
65503,12.21,-1.31,306
65510,11.10,-4.18,432
65536,9.23,5.33,381
65548,7.23,-7.31,340
65555,7.44,-5.04,376
65578,5.15,-3.56,8
65592,4.25,-7.22,21
66152,-7.24,20.49,776
66160,-8.51,13.14,70
66215,-9.33,16.22,1142
66310,-12.35,13.25,4
66318,-12.48,15.45,1701
66390,-14.56,13.34,1758
66410,-14.39,17.41,1343
67001,-11.42,43.14,6
67002,-11.32,43.16,29
67004,-12.07,44.26,12
67009,-12.21,49.18,105
67019,-14.38,47.46,57
67025,-14.53,50.15,88
67027,-15.40,46.21,18
67083,-18.48,47.29,1276
67095,-18.07,49.24,6
67113,-19.50,48.48,5
67117,-20.17,44.19,8
67137,-21.27,47.06,1109
67161,-23.23,43.44,8
67197,-25.02,46.57,9
67215,-12.59,40.32,50
67217,-13.18,35.14,1365
67237,-15.06,39.17,441
67261,-16.11,33.35,150
67283,-17.53,36.53,16
67297,-19.48,34.54,16
67323,-23.52,35.23,15
67341,-25.55,32.34,44
67423,-9.57,33.53,529
67475,-10.13,31.08,1384
67485,-11.53,33.37,1351
67489,-11.27,34.01,1253
67581,-13.33,32.35,1032
67584,-13.01,33.28,1015
67586,-13.47,33.46,1229
67597,-13.45,34.35,513
67633,-15.15,23.09,1053
67693,-15.41,34.58,767
67761,-16.31,28.53,518
67765,-16.50,29.37,1344
67781,-17.25,32.13,1244
67843,-18.06,25.51,1062
67853,-18.38,27.00,1077
67861,-18.13,28.56,1282
67867,-19.27,29.51,1429
67869,-18.19,29.53,1157
67881,-18.32,32.08,1430
67964,-20.09,28.37,1344
67975,-20.04,30.52,1095
67977,-21.01,31.35,430
67991,-22.13,30.00,457
68014,-19.36,18.07,1400
68032,-19.59,23.25,900
68038,-20.33,26.05,904
68040,-21.25,25.36,985
68110,-22.34,17.06,1700
68112,-22.29,17.28,1719
68174,-23.51,29.27,1226
68240,-24.33,25.55,1005
68242,-25.48,25.33,1281
68263,-25.55,28.13,1526
68267,-26.30,29.59,1774
68312,-26.32,18.07,1100
68328,-26.03,22.27,1000
68342,-26.49,26.01,1498
68424,-28.25,21.16,840
